NOMBRE;LINK
Banco Solidario;https://www.linkedin.com/company/banco-solidario/people/
Banco Produbanco;https://www.linkedin.com/company/produbanco/
Banco Pichincha;https://www.linkedin.com/company/banco-pichincha-ca/
Banco Internacional;https://www.linkedin.com/company/banco-internacional-ecuador/
Banco Amazonas;https://www.linkedin.com/company/banco-amazonas/
Banco Procredit;https://www.linkedin.com/company/banco-procredit-ecuador/
Banco de Guayaquil;https://www.linkedin.com/company/bancoguayaquil/
Banco General Rumiñahui;https://www.linkedin.com/company/bgr---banco-general-rumi%C3%B1ahui/
Banco del Pacífico;https://www.linkedin.com/company/banco-del-pacifico/
Banco de Loja;https://www.linkedin.com/company/banco-de-loja/
Banco del Austro;https://www.linkedin.com/company/banco-del-austro/
Banco Bolivariano;https://www.linkedin.com/company/banco-bolivariano/
Banco de Machala;https://www.linkedin.com/company/bancodemachala/
Banco Del Bank;https://www.linkedin.com/company/banco-delbank/
Banco Capital;https://www.linkedin.com/company/banco-capital/
Banco Comercial de Manabí;
Banco Coopnacional;
Banco D-Miro;https://www.linkedin.com/company/banco-d-miro/
Banco Finca;https://www.linkedin.com/company/banco-finca-ecuador/
Banco Litoral;https://www.linkedin.com/company/bancolitoral/about/
Bancodesarrollo;
Banco Diners Club del Ecuador;https://www.linkedin.com/company/diners-club-ecuador/
Banco VisionFund;https://www.linkedin.com/company/banco-visionfund-ecuador/
Citibank;
Banco De Desarrollo;https://www.linkedin.com/company/banco-de-desarrollo-del-ecuador-b-p/
Corporación Financiera Nacional BP;
BanEcuador;https://www.linkedin.com/company/banecuador/
Banco del Instituto Ecuatoriano de Seguridad Social (BIESS);
Banco Central del Ecuador;https://www.linkedin.com/company/banco-central-del-ecuador/
Mutualista Ambato;https://www.linkedin.com/company/mutualista-ambato/people/
Mutualista Azuay;https://www.linkedin.com/company/mutualista-azuay/
Mutualista Imbabura;
Mutualista Pichincha;https://www.linkedin.com/company/mutualista-pichincha/
CACPECO;https://www.linkedin.com/company/cacpeco-ltda/
Mushuc Runa;
Servidores Públicos del Ministerio de Educación y Cultura;
Jardín Azuayo;https://www.linkedin.com/company/jardin-azuayo/
Andalucía;https://www.linkedin.com/company/coopandalucia/
Pablo Muñoz Vega;
Riobamba;https://www.linkedin.com/company/cooperativa-riobamba-ltda/
29 de Octubre;https://www.linkedin.com/company/la29deoctubre/
23 de Julio;https://www.linkedin.com/company/coop23dejulio/
Alianza del Valle;https://www.linkedin.com/company/cooperativa-alianza-del-valle/
Cooprogreso;https://www.linkedin.com/company/cooprogreso/
Cámara de Comercio de Ambato;https://www.linkedin.com/company/cooperativa-de-ahorro-y-cr%C3%A9dito-c%C3%A1mara-de-comercio-de-ambato/
Mego;https://www.linkedin.com/company/coopmego/
CACPE Biblián;
Santa Rosa;
San Francisco;
San José;
Pilahuín Tio LTDA;
Policía Nacional;
El Sagrario;
CACPE Pastaza;
Juventud Ecuatoriana Progresista;https://www.linkedin.com/company/cooperativajep/
Tulcán;
Financoop;
Oscus;
Atuntaqui;
